imagen,técnica,media,std (RMS),rango dinámico efectivo (P99-P1),contraste de Michelson,entropía Shannon (bits)
1013.png,Original,34.116,42.796,216.0,0.991,6.238
1013.png,Log,128.251,61.049,216.0,0.777,6.001
1013.png,Gamma 0.5,76.609,52.379,220.0,0.88,6.169
1013.png,A trozos,56.855,64.425,239.0,0.992,6.141
1013.png,Igualación,131.494,69.8,237.0,0.888,5.971
1033.png,Original,23.771,42.616,240.0,0.992,5.517
1033.png,Log,109.232,54.211,221.0,0.781,5.364
1033.png,Gamma 0.5,60.405,48.397,232.0,0.885,5.469
1033.png,A trozos,37.15,57.792,248.0,0.992,5.448
1033.png,Igualación,133.609,68.864,240.0,0.909,5.205
1045.png,Original,24.82,31.204,158.0,0.988,5.625
1045.png,Log,125.021,48.895,202.0,0.765,5.514
1045.png,Gamma 0.5,68.457,39.535,186.0,0.861,5.593
1045.png,A trozos,41.809,47.368,217.0,0.991,5.579
1045.png,Igualación,131.963,71.485,243.0,0.924,5.383
1088.png,Original,32.501,34.212,186.0,0.969,6.3
1088.png,Log,144.021,39.01,178.0,0.586,6.138
1088.png,Gamma 0.5,81.78,38.81,192.0,0.78,6.26
1088.png,A trozos,54.954,50.496,225.0,0.966,6.246
1088.png,Igualación,129.789,72.389,248.0,0.969,6.071
